"","roi.1","roi.2","roi.3","roi.4","roi.5","roi.6","roi.7","roi.8","roi.9","roi.10","roi.11","roi.12","roi.13","roi.14","roi.15","roi.16","roi.17","roi.18","roi.19","roi.20","roi.21","roi.22","roi.23","roi.24","roi.25","roi.26","roi.27","roi.28","roi.29","roi.30","roi.31","roi.32","roi.33","roi.34","roi.35","roi.36","roi.37","roi.38","roi.39","roi.40","roi.41","roi.42","roi.43","roi.44","roi.45","roi.46","roi.47","roi.48","roi.49","roi.50","roi.51","roi.52","roi.53","roi.54","roi.55","roi.56","roi.57","roi.58","roi.59","roi.60","roi.61","roi.62","roi.63","roi.64","roi.65","roi.66","roi.67","roi.68","roi.69","roi.70","roi.71","roi.72","roi.73","roi.74","roi.75","roi.76","roi.77","roi.78","roi.79","roi.80","roi.81","roi.82","roi.83","roi.84","roi.85","roi.86","roi.87","roi.88","roi.89","roi.90","roi.91","roi.92","roi.93","roi.94","roi.95","roi.96"
"roi.1",NA,0.281585066429285,0.582216032859909,0.959599023876551,0.565814779965603,0.465402558314265,0.343005231817433,0.349509389349237,0.181622238642363,0.224218100131403,0.330053878170449,0.402793156542461,0.344206985912079,0.337277891972175,0.437093896256489,0.371132290590364,0.220547668074651,0.15528484925391,0.249846634537341,0.647934011448134,0.674171255858269,0.5295382011581,0.298711129360687,0.364498643593639,0.297427381026624,0.25065017310325,0.214022753195354,0.507268502657908,0.485156620518326,0.593750161979461,0.430621498072248,0.251867455297783,0.588572097139536,0.225756854404479,0.122533271155464,0.264497088050368,0.310260280282487,0.262512733697696,0.153466050117214,0.255512859104542,0.254890534293972,0.232683954848122,0.214667854422984,0.307832368111384,0.175128919702982,0.275799720302284,0.315889743540975,0.600067774664982,0.706107818059021,0.402521622051148,0.453487604452428,0.401448226878424,0.230766358981409,0.314193067597249,0.328664915579105,0.25180443476008,0.197592865079301,0.185301837152549,0.176527722763155,0.189910427868736,0.203198248791213,0.342522754285823,0.332609724578958,0.253401013232381,0.18925248564231,0.256510154327646,0.369819890361978,0.524100643605057,0.305505455439683,0.3131715158764,0.375390562972216,0.427587348132537,0.124010397216917,0.297029228397597,0.214654843642561,0.349771146570791,0.372294420486216,0.36533064601001,0.305608355903953,0.258335436110221,0.522538508387599,0.0766480207697901,0.162497339697243,0.33628280907743,0.34291957163844,0.247899330059224,0.348402463705542,0.315628048036628,0.240618338948033,0.286451332729647,0.272010454406424,0.21564486462959,0.277594977743199,0.271313801418916,0.285801717985484,0.493106333391341
"roi.2",0.281585066429285,NA,0.501408627790837,NA,0.503214856718334,0.245189156047056,0.388098921498788,0.691185961503981,0.216245899867288,0.196020025443742,NA,NA,0.409233068003819,0.435694529037971,0.248417719406258,0.138344084144987,0.335503229774429,0.222754773517442,0.82264913368686,0.639838736896128,NA,NA,0.167818851229595,0.332634032864632,NA,0.60724441783872,-0.118715153951393,0.428518091362764,0.627475272154632,0.0827077937097411,-0.127492259495101,0.0985476207286837,0.541580585142589,0.279787262221514,0.142525052982639,0.193440267921467,0.419016749064851,0.376357900880524,0.226511516689683,0.104323372942616,0.692498010233769,0.898694053466494,0.752964712745236,0.902240811043813,0.676163831884963,0.660813496915304,0.275371004671916,0.219842340114111,0.142471531178745,1.25192959531291,0.0764639101860932,-0.0825311241529025,-0.172302980687063,0.0846925134135284,0.207861085157341,0.317925236284642,0.3154188085429,NA,-0.187654865762776,-0.196399097858057,0.112696184499779,0.219570510645251,-0.139885831281312,NA,0.217393130349559,0.0872501847831017,0.793506896539541,0.327070369839764,-0.176535628533335,-0.0701197646790191,0.159853989735722,0.507861494692534,-0.234722213916082,0.551713973888879,NA,0.143916198748863,0.611196694305848,NA,-0.086907439410716,NA,0.329307892375278,0.16917640908775,0.226790470450626,0.311837894027064,0.353186246143277,0.18461351372273,0.264623713666343,NA,0.412706880040016,0.536538524903722,0.680239407181645,0.508545037007656,0.725201272419397,0.571827236906427,0.267614803633153,0.0933607145137348
"roi.3",0.582216032859909,0.501408627790837,NA,0.316556377269234,0.447904732160478,0.186570425073301,0.646654344473252,0.643100050513606,0.240244403503175,0.175049272132881,0.30917656694487,0.404284291729537,0.408850315467102,0.343807452156139,0.279883029690644,0.187914346039314,0.503212163681222,0.355228244167831,0.452165685009534,0.40976748975702,0.239354855042575,0.151832377738473,0.219087164701366,0.414660640580146,0.284271957263407,0.63988545799423,0.145452837801281,0.667299804510146,0.646854426681478,0.361549268351496,0.254059662188085,0.1926851962143,0.506662984014867,0.327955420946779,0.25786940272397,0.400578104343584,0.309547927515927,0.352518073189191,0.31544474063871,0.264025240982066,0.253538213785049,0.476020010046998,0.512239110792523,0.438775400563913,0.394932709162003,0.399490201269448,0.22746438210231,0.50252417041982,0.558092474656741,0.431152956740268,0.812918463232438,0.200973091440242,0.167281064176155,0.230343690162832,0.53152880665741,0.42085525303226,0.189569136641714,NA,0.200663953182726,0.305014235565109,0.214972379994334,0.295911121237456,0.277169785652658,NA,0.498861145573276,0.236281475200522,0.356145643507698,0.405040450987366,0.174410269484619,0.153703316088222,0.243670049230587,0.524745219615618,0.26268641588759,0.680060973244438,0.244613087463404,0.575128691144263,0.596575927911722,0.310137252035917,0.255625305261632,0.154482970460886,0.578371358288115,0.19361446602533,0.262641388966841,0.423696458643716,0.325608935826426,0.281570123766173,0.369665292152124,0.265431888790008,NA,0.262497852743401,0.468396979112262,0.320696485723477,0.389435679060961,0.412266610578586,0.231470990442493,0.329019043857323
"roi.4",0.959599023876551,NA,0.316556377269234,NA,0.406623948977032,0.813901181751788,0.287936245963581,0.141708931949228,0.230252359997353,0.329302051120939,0.403984051889889,0.473851133947218,0.281207137049868,0.261090405450516,0.542392382233865,0.528549393332552,0.251180955658467,0.100336045142718,0.0752505934945284,0.565363595016775,1.0925300370779,0.648127613346865,0.260707221046489,0.298574958131244,NA,NA,NA,0.201200530202941,0.276248298290048,0.600881819772947,0.492506125765579,0.230820452958194,0.28612546505189,0.213252256944997,0.155859758043486,0.268935304592172,0.323487830916381,0.287665979947321,0.243019420954692,0.289686237986686,0.136160261715089,0.138716668374663,0.0987909472110425,0.0731734413769025,NA,0.151339146776492,0.260520992740469,0.395824081512705,0.470944348321646,0.0794269918273042,0.435531321508133,0.727951736744013,0.422676228097483,0.447543581836095,0.285945505966239,0.0831011880293165,0.144422195535077,0.231614906815386,0.221264610367833,0.276018448131551,0.233363179959268,0.270279662961249,0.42992265433569,0.407659326525887,0.171729546099781,0.332509508964319,0.162815309410073,0.502421977547465,0.520146585633712,0.46768493865259,0.271097770868515,0.319901428949053,NA,0.076102383346199,NA,0.20979763846004,0.146780751097663,0.453956032431041,0.359016710159863,0.21684321449133,0.19900885816809,0.0879267118610101,0.157460349317554,0.313615585151572,0.290335954440203,0.220745518015666,0.269566036291529,0.328506206944362,0.087548247211315,0.258803841942949,0.129988787406847,NA,NA,0.118547910004479,0.23295822532833,0.348902782112647
"roi.5",0.565814779965603,0.503214856718334,0.447904732160478,0.406623948977032,NA,0.436613946608105,0.258729116897366,0.391412181979946,0.127101442693679,0.0758694703741639,0.0795736154592248,0.286796980983447,0.363297918004357,0.287405664307055,0.269559684742585,0.208140341802217,0.143703402625156,0.142345451923156,0.449123751573975,0.689318134701316,0.29905114564661,0.138928100831336,0.0859874207401334,0.266443215996736,NA,0.23188451054313,-0.127833877889183,0.650630866187292,0.464631907734748,0.171140991186779,0.0789199120161125,0.123141289719613,0.553975766893359,0.12854579471662,NA,0.105686976647031,0.384975170678416,0.247833859721427,0.145361169517477,0.160727275122974,0.727328917516069,0.344781590434438,0.277381553573116,0.212976383034803,0.260501591412146,0.29550708336271,0.181643797923551,0.264027983746149,0.169936253425248,0.553769898425918,0.163462850288978,NA,0.155503441416243,0.41046339730315,0.236872900232108,0.240360407307848,NA,NA,NA,NA,0.17832466038857,0.17808399112126,NA,0.0929102777193983,0.0884715608898278,0.16391031028132,0.495964910455025,0.497509169560143,NA,NA,0.144557227025258,0.334416555460756,-0.15801136939962,0.230759609802591,-0.0712018893788285,0.269125881132536,0.367325617453024,NA,NA,NA,0.5008524120734,0.115933824341982,NA,0.159298097119756,0.270773385863392,0.137346045343116,0.111288644019277,0.142710903178609,0.484753987812411,0.336505352885846,0.277203637568807,0.133428585550829,0.249886344439503,0.281468887160592,0.188167524601198,0.224630131484551
"roi.6",0.465402558314265,0.245189156047056,0.186570425073301,0.813901181751788,0.436613946608105,NA,0.35093833423338,0.126208674095326,0.265661500415663,0.281431395040134,0.121070510884179,0.143428998666552,0.270538025142447,0.234440387066331,0.534744412076405,0.714501755217962,0.484493367369171,0.231940131714951,0.413210707131176,0.536706612309979,0.532372566335,0.44105018780019,0.218516464557921,0.169978274304161,-0.200306581386334,0.112734123286503,-0.0985623135587342,NA,0.232104760944888,0.215375673874326,0.18484245637003,0.155464006960644,0.299578246512007,0.226240877649915,0.152248553099019,0.205591405626061,0.434718867507574,0.323363703722855,0.323888890149429,0.264831856732692,0.340931145833224,0.286379481272384,0.348184312100436,0.0732913654614096,0.152638901769883,0.254814677606703,0.15822146546656,0.230579946486282,0.237912869979406,0.152028958925794,0.239233480827265,0.539916731924187,0.388664321484078,0.653308396881131,0.355231927161983,NA,NA,0.213218392187404,NA,NA,0.287878256786054,0.145105446933102,0.316374298468963,0.625888671881342,0.274854626179714,0.518923850774198,0.458540678603387,0.473060012225103,0.321017306839262,0.431365577552706,0.241250076659428,0.229162503798448,-0.152142999361236,0.164232721927141,-0.168918186720467,NA,0.124101031965034,0.195044767129432,0.158958995390043,0.109311353114827,0.135068627399502,NA,0.106574400420792,0.219923829486289,0.253364294719954,0.238791843891117,0.194779497316332,0.196056996587095,0.174872800695346,0.336712034364975,0.292663003489105,-0.098915390584823,NA,0.179363721030491,0.202899445591689,0.16743170587046
"roi.7",0.343005231817433,0.388098921498788,0.646654344473252,0.287936245963581,0.258729116897366,0.35093833423338,NA,0.383851875951595,0.646228136175219,0.618301516674126,0.356262887623259,0.507393512322101,0.802057428803235,0.283783577082451,0.227052703840863,0.573211088232007,1.219281230686,0.795891580590753,0.35537817298001,0.301233759514625,0.366026228796283,0.525740569286493,0.611604203133896,0.393632733742127,0.142301612388759,0.49661960823298,0.162999109514158,0.353209992251376,0.395577708677651,0.275391780036135,0.336715368582598,0.539621039926663,0.281898837997671,0.234661750659339,0.268492574996744,0.472294891792029,0.268561836014529,0.329224923317332,0.351049395484415,0.430945619873448,0.161344830644423,0.742440784347773,0.499262640603836,0.498238661509236,0.530369021992814,0.711266948212584,0.520496942647315,0.406849628702969,0.405421155518909,0.282985143355861,0.58711901791362,0.324561807471264,0.318302025676827,0.357216886335771,0.946638772010559,0.295495471138669,0.396493692416525,0.50886021031395,0.319117280537473,0.386039821081484,0.702371640283569,0.23119882910577,0.200768628473747,0.377950379075618,0.906773114013914,0.705328945434016,0.308178563682523,0.363212134362092,0.404565801550304,0.542432929250849,0.622367298216561,0.40939759457645,0.263656811819531,0.458774722687563,0.191944535913327,0.322342059633561,0.301149303597186,0.321309206414909,0.354845689065519,0.478403661081106,0.327900242425492,0.12957686967739,0.303969908850018,0.499204542670794,0.197708249527109,0.358821567543772,0.419497374273073,0.363194024093185,-0.0832833278123985,0.54251689257383,0.479386294696377,0.178176721072766,0.414422154989257,0.605377438398706,0.530401434870461,0.290533974072674
"roi.8",0.349509389349237,0.691185961503981,0.643100050513606,0.141708931949228,0.391412181979946,0.126208674095326,0.383851875951595,NA,0.348582758585831,0.117032667809884,0.372612459052166,0.332984666617641,0.353048229976321,0.729631467915869,0.47771291107611,0.249294045721342,0.206293426563849,0.0995933919337585,0.392892375804845,0.344921037769326,0.151581699763236,NA,0.198688183904782,0.412243382680855,0.385889513146015,0.423719795626152,0.267500513396217,0.426346694745968,0.5334191841727,0.351394588419761,0.219556799054968,0.160281235882545,0.620005330291063,0.708010373596453,0.498356125638092,0.445155117693931,0.633599241826273,0.815145695458093,0.517341749769274,0.199696051930069,0.210847614752532,0.606310169628726,0.412239578179771,0.519771234024306,0.405775077958074,0.415822680603743,0.327425167557591,0.336719738969048,0.284886651594165,0.602804345550435,0.258504585835797,NA,NA,0.119915180477412,0.271975951847977,0.954622291357704,0.456314784654051,NA,0.229511592745934,0.170940101863414,0.204408027646225,0.494807756430369,0.119103534999496,0.0778467849612861,0.265067881725666,0.10940159161961,0.36745387193736,0.265752159680209,NA,NA,0.236665171743596,0.598376102979425,0.142321863654191,0.414596492680605,0.268881411041771,0.255032680708625,0.548777019362648,0.273911808276204,0.19183298871355,0.11573698797121,0.590148736409002,0.60306135539472,0.596855179948623,0.517841427069609,0.597508392866164,0.555477485771896,0.479313532120496,0.14529841969134,0.0972642325296877,0.340149336788444,0.38211046361536,0.564633645859256,0.457605863526449,0.371561612101819,0.368869047292135,0.211766643334311
"roi.9",0.181622238642363,0.216245899867288,0.240244403503175,0.230252359997353,0.127101442693679,0.265661500415663,0.646228136175219,0.348582758585831,NA,0.850453759557554,0.509798290264401,0.62183407483039,0.598995526954515,0.330978697858819,0.209238971443645,0.533239562677708,0.57535437496742,0.481861621670996,0.135610300265997,0.178465878602581,0.379908391331177,0.406719022807729,0.465072060706239,0.208898174549864,NA,0.268306246007175,0.14036143532363,0.10872812420484,0.0786625912014886,0.175362192736597,0.290106392812312,0.407123289716487,0.205815305231619,0.15333863420024,0.262893407135644,0.364122728760527,0.189928366700769,0.351966302964891,0.311551780611949,0.274520138182126,NA,0.446746416839809,0.320112231097613,0.384964291560029,0.402645791766071,0.507300400218472,0.413408547019734,0.214559518329353,0.34643932175442,0.0941928891569173,0.395263742658621,0.370449022090023,0.433647224769819,0.393834967976214,0.513616701207943,0.246906382265638,0.468828986966704,0.796215309921219,0.410268431976601,0.459897324864029,0.743707539902619,0.214415916530254,0.159293199238235,0.404205992291845,0.534435073087266,0.569570671150646,0.200842515689996,0.337779929915594,0.520543188251742,0.519465605635204,0.444958492273941,0.197785442341503,0.227117206900895,0.227455645666933,0.112519127401524,0.16969433652868,NA,0.264483627897732,0.339105051975058,0.390631346553314,0.302446137825549,0.131701441404167,0.292860390846898,0.375169562410472,NA,0.319526454508252,0.381465871571104,0.215400074428792,-0.127977016318055,0.329958004937502,0.315862408163568,0.121326043203527,0.262989262176431,0.457858764345105,0.445316086990965,0.164879189104756
"roi.10",0.224218100131403,0.196020025443742,0.175049272132881,0.329302051120939,0.0758694703741639,0.281431395040134,0.618301516674126,0.117032667809884,0.850453759557554,NA,0.478153765491958,0.584899760104121,0.709632337088688,0.221021143780278,0.0790948146640697,0.431211057818037,0.551397014164574,0.497762576027698,NA,0.224241040912235,0.446124699231812,0.529214248872663,0.572374627177174,0.266463029872232,NA,0.165550350574815,NA,0.0965048033905266,0.141268918639272,0.248295698487263,0.292620322126988,0.522419067544823,NA,NA,NA,0.295237804400125,0.1619935430417,0.198873542283786,0.200382336322505,0.296240989777421,0.198338129097044,0.3923722901835,0.302986913032144,0.442554019292636,0.479897142547245,0.485644638565421,0.445833774047444,0.27400385935494,0.322370296703886,0.0714887708071362,0.34607020199812,0.412939440151076,0.39423569328826,0.286429184632956,0.502760951978793,NA,0.457212084113079,0.840526922709774,0.307951552708749,0.428388557480307,0.760743069459249,0.141026175579154,0.0928231178260563,0.379266670788467,0.466728079407145,0.540592095253384,0.124349483315147,0.361354328476537,0.493091934002549,0.540531313960806,0.50606663204114,0.203533425389861,0.229617966145523,0.107073261676664,0.146836964237244,0.19983850896139,0.119008853884644,0.321801342038318,0.333871856993735,0.48507459028817,NA,NA,0.112918604764535,0.324796824439907,NA,0.202706521989089,0.252442337693396,0.268872770695755,-0.0970538772430778,0.402264164892831,0.30278116906917,NA,0.370066723451391,0.462816575466454,0.468624962614205,0.263538994423027
